"AgencyCd","SiteNo","AgencyNm","SiteName","DecLatVa","DecLongVa","HorzDatum","HorzMethod","HorzAcy","AltVa","AltUnits","AltUnitsNm","AltDatumCd","AltMethod","AltAcy","WellDepth","WellDepthUnits","WellDepthUnitsNm","NatAquiferCd","NatAqfrDesc","CountryCd","CountryNm","StateCd","StateNm","CountyCd","CountyNm","LocalAquiferName","SiteType","AquiferType","QwSysName","QwSnFlag","QwSnDesc","QwBaselineFlag","QwBaselineDesc","QwWellChars","QwWellCharsDesc","QwWellType","QwWellTypeDesc","QwWellPurpose","QwWellPurposeDesc","WlSnFlag","WlSnDesc","WlBaselineFlag","WlBaselineDesc","Link","SiteId"
"USGS","394528075004301","U.S. Geological Survey","070841-- Nu06","39.75752777777780266887930338","-75.01097222222219329523795750","NAD83","North American Datum of 1983","5","175","1","Feet","NGVD29","M","5.0","54","1","Feet","S100NATLCP","Northern Atlantic Coastal Plain aquifer system","US","United States of America","34","New Jersey","007","Camden County","Cohansey Sand-Kirkwood Formation","WELL","UNCONFINED","NAWQA linjlusrc1 Network","1","Yes","1","Yes","3","Known Changes","3","Special","1","Dedicated Monitoring/Observation","0","No","0","No","https://waterdata.usgs.gov/monitoring-location/394528075004301","USGS-394528075004301"
"USGS","392824074272801","U.S. Geological Survey","011269-- Suscp08","39.47327777777780255519246566","-74.45705555555559840286150575","NAD83","North American Datum of 1983","5","45","1","Feet","NGVD29","M","2.5","70","1","Feet","S100NATLCP","Northern Atlantic Coastal Plain aquifer system","US","United States of America","34","New Jersey","001","Atlantic County","Cohansey Sand-Kirkwood Formation","WELL","UNCONFINED","NAWQA linjsus2 Network","1","Yes","1","Yes","3","Known Changes","3","Special","2","Other","0","No","0","No","https://waterdata.usgs.gov/monitoring-location/392824074272801","USGS-392824074272801"
"USGS","394657074554501","U.S. Geological Survey","070857-- Nu26","39.78241666666669829055535956","-74.93183333333330153891438385","NAD83","North American Datum of 1983","5","155","1","Feet","NGVD29","M","5.0","20","1","Feet","S100NATLCP","Northern Atlantic Coastal Plain aquifer system","US","United States of America","34","New Jersey","007","Camden County","Cohansey Sand-Kirkwood Formation","WELL","UNCONFINED","NAWQA linjlusrc1 Network","1","Yes","1","Yes","3","Known Changes","3","Special","1","Dedicated Monitoring/Observation","0","No","0","No","https://waterdata.usgs.gov/monitoring-location/394657074554501","USGS-394657074554501"
"USGS","394428075044601","U.S. Geological Survey","151211-- Nu03","39.74122222222219846798907383","-75.07891666666670005270134425","NAD83","North American Datum of 1983","5","147","1","Feet","NGVD29","M","5.0","32","1","Feet","S100NATLCP","Northern Atlantic Coastal Plain aquifer system","US","United States of America","34","New Jersey","015","Gloucester County","Cohansey Sand-Kirkwood Formation","WELL","UNCONFINED","NAWQA linjlusrc1 Network","1","Yes","1","Yes","3","Known Changes","3","Special","1","Dedicated Monitoring/Observation","0","No","0","No","https://waterdata.usgs.gov/monitoring-location/394428075044601","USGS-394428075044601"
"USGS","394838074533601","U.S. Geological Survey","051421-- Suscp19 Dom","39.81108333333330051573284436","-74.89261111111109414650854887","NAD83","North American Datum of 1983","5","126","1","Feet","NGVD29","M","5.0","70","1","Feet","S100NATLCP","Northern Atlantic Coastal Plain aquifer system","US","United States of America","34","New Jersey","005","Burlington County","Cohansey Sand-Kirkwood Formation","WELL","UNCONFINED","NAWQA linjsus2 Network","1","Yes","1","Yes","3","Known Changes","3","Special","2","Other","0","No","0","No","https://waterdata.usgs.gov/monitoring-location/394838074533601","USGS-394838074533601"
"USGS","393946074582901","U.S. Geological Survey","151218-- Nu10","39.66355555555559675440235878","-74.97455555555559669755893992","NAD83","North American Datum of 1983","5","130","1","Feet","NGVD29","M","5.0","17","1","Feet","S100NATLCP","Northern Atlantic Coastal Plain aquifer system","US","United States of America","34","New Jersey","015","Gloucester County","Cohansey Sand-Kirkwood Formation","WELL","UNCONFINED","","1","Yes","1","Yes","3","Known Changes","3","Special","1","Dedicated Monitoring/Observation","0","No","0","No","https://waterdata.usgs.gov/monitoring-location/393946074582901","USGS-393946074582901"
"USGS","392920075011901","U.S. Geological Survey","110931-- Ou02","39.48883333333329659353694296","-75.02130555555559965341672068","NAD83","North American Datum of 1983","5","114","1","Feet","NGVD29","M","5.0","51","1","Feet","S100NATLCP","Northern Atlantic Coastal Plain aquifer system","US","United States of America","34","New Jersey","011","Cumberland County","Cohansey Sand-Kirkwood Formation","WELL","UNCONFINED","NJ WSC NWIS QWDATA DATABASE","1","Yes","0","No","3","Known Changes","1","Surveillance","1","Dedicated Monitoring/Observation","0","No","0","No","https://waterdata.usgs.gov/monitoring-location/392920075011901","USGS-392920075011901"
"USGS","400122074113801","U.S. Geological Survey","291277-- Suscp25 Dom","40.02280555555559971026013955","-74.19350000000000022737367544","NAD83","North American Datum of1983","5","70","1","Feet","NGVD29","M","2.5","175","1","Feet","S100NATLCP","Northern Atlantic Coastal Plain aquifer system","US","United States of America","34","New Jersey","029","Ocean County","Cohansey Sand-Kirkwood Formation","WELL","UNCONFINED","NAWQA linjsus2 Network","1","Yes","1","Yes","3","Known Changes","3","Special","2","Other","0","No","0","No","https://waterdata.usgs.gov/monitoring-location/400122074113801","USGS-400122074113801"
"USGS","401229074290001","U.S. Geological Survey","250800-- MW72","40.20816658401619747564836871","-74.48292982853679689014825271","NAD27","North American Datum of 1927","S","152","1","Feet","NGVD29","M","5.0","18.5","1","Feet","S100NATLCP","Northern Atlantic Coastal Plain aquifer system","US","United States of America","34","New Jersey","025","Monmouth County","Mount Laurel Sand-Wenonah Formation","WELL","UNCONFINED","NJ WSC NWIS QWDATA DATABASE","1","Yes","0","No","3","Known Changes","1","Surveillance","1","Dedicated Monitoring/Observation","1","Yes","1","Yes","https://waterdata.usgs.gov/monitoring-location/401229074290001","USGS-401229074290001"
"USGS","394348074595301","U.S. Geological Survey","070844-- Nu13","39.72963888888889982808905188","-74.99713888888889812278648606","NAD83","North American Datum of 1983","5","160","1","Feet","NGVD29","M","5.0","34","1","Feet","S100NATLCP","Northern Atlantic Coastal Plain aquifer system","US","United States of America","34","New Jersey","007","Camden County","Cohansey Sand-Kirkwood Formation","WELL","UNCONFINED","NAWQA linjlusrc1 Network","1","Yes","1","Yes","3","Known Changes","3","Special","1","Dedicated Monitoring/Observation","0","No","0","No","https://waterdata.usgs.gov/monitoring-location/394348074595301","USGS-394348074595301"
